Entity,Code,Year,Annual CO2 emissions (per capita)
South Korea,KOR,2019.0,12.472093
South Sudan,SSD,2019.0,0.1581657
Spain,ESP,2019.0,5.343047
Sri Lanka,LKA,2019.0,1.0263492
Sudan,SDN,2019.0,0.507772
Suriname,SUR,2019.0,4.469178
Sweden,SWE,2019.0,3.9913132
Switzerland,CHE,2019.0,4.283443
Syria,SYR,2019.0,1.3672318
Taiwan,TWN,2019.0,11.502985
Tajikistan,TJK,2019.0,1.0530323
Tanzania,TZA,2019.0,0.21785387
Thailand,THA,2019.0,4.070233
Togo,TGO,2019.0,0.26749972
Tonga,TON,2019.0,1.5359025
Trinidad and Tobago,TTO,2019.0,26.821892
Tunisia,TUN,2019.0,2.4652345
Turkey,TUR,2019.0,4.8120704
Turkmenistan,TKM,2019.0,12.139736
Turks and Caicos Islands,TCA,2019.0,8.415367
Tuvalu,TUV,2019.0,0.66721296
Uganda,UGA,2019.0,0.13997535
Ukraine,UKR,2019.0,5.022646
United Arab Emirates,ARE,2019.0,22.633892
United Kingdom,GBR,2019.0,5.4621234
United States,USA,2019.0,15.730885
Uruguay,URY,2019.0,1.8929877
Uzbekistan,UZB,2019.0,3.6024542
Vanuatu,VUT,2019.0,0.52959454
Venezuela,VEN,2019.0,3.0758011
Vietnam,VNM,2019.0,3.560416
Wallis and Futuna,WLF,2019.0,2.1855986
World,OWID_WRL,2019.0,4.7756333
Yemen,YEM,2019.0,0.4020657
Zambia,ZMB,2019.0,0.42148867
Zimbabwe,ZWE,2019.0,0.72386146
